ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
96TX,small_airport,Brown Field,2125,NA,US,US-TX,Christoval,96TX,,96TX,"-100.47599792480469, 31.1653995513916"
96VE,small_airport,Beiter Airport,1910,NA,US,US-WA,Ellensburg,96VE,,96VE,"-120.433611, 46.906667"
96WA,small_airport,Jim & Julie's Airport,15,NA,US,US-WA,Everett,96WA,,96WA,"-122.15599822998047, 47.898101806640625"
96WY,small_airport,Cedar Creek Ranch Airport,7760,NA,US,US-WY,Saratoga,96WY,,96WY,"-106.59200286865234, 41.40919876098633"
96XA,small_airport,Gnaws Farm Airport,2717,NA,US,US-TX,Pecos,96XA,,96XA,"-103.643889, 31.284444"
97AK,small_airport,High Ridge Association Airport,720,NA,US,US-AK,Palmer,97AK,,97AK,"-149.25399780273438, 61.66400146484375"
97CA,small_airport,Tejon Agricultural Airport,1065,NA,US,US-CA,Lebec,97CA,,97CA,"-118.91500091552734, 34.98910140991211"
97CL,small_airport,Siller Bros Inc Airport,235,NA,US,US-CA,Oroville,97CL,,97CL,"-121.58100128173828, 39.460201263427734"
97CO,small_airport,Peakview Airport,6370,NA,US,US-CO,Yoder,97CO,,97CO,"-104.15899658203125, 38.92499923706055"
97F,small_airport,Crazy Horse Municipal Airport,940,NA,US,US-OK,Davis,97F,,97F,"-97.1083984375, 34.54650115966797"
97FL,small_airport,Love Field,80,NA,US,US-FL,Weirsdale,97FL,,97FL,"-81.8915023803711, 28.96190071105957"
97G,small_airport,Glowacki Airport,775,NA,US,US-MI,St Johns,97G,,97G,"-84.5958023071289, 43"
97GA,small_airport,B Tree Farms Airport,1000,NA,US,US-GA,Gillsville,97GA,,97GA,"-83.6720962524414, 34.2681999206543"
97IA,small_airport,Volkens Field,1275,NA,US,US-IA,Carson,97IA,,97IA,"-95.47669982910156, 41.25579833984375"
97KS,small_airport,Clear View Farm Airport,1060,NA,US,US-KS,Olathe,97KS,,97KS,"-94.75569915771484, 38.81010055541992"
97LA,small_airport,Greene Air Park,50,NA,US,US-LA,Milton,97LA,,97LA,"-92.0551986694336, 30.03380012512207"
97MO,small_airport,Gary's Airport,1200,NA,US,US-MO,Buffalo,97MO,,97MO,"-93.01629638671875, 37.75669860839844"
97MT,small_airport,Cabin Creek Landing Airport,3999,NA,US,US-MT,Marion,97MT,,97MT,"-114.6760025024414, 48.07490158081055"
97ND,small_airport,Walser Strip,960,NA,US,US-ND,Park River,97ND,,97ND,"-97.70809936523438, 48.43080139160156"
97NY,small_airport,Hunter Mountain Airport,2000,NA,US,US-NY,Hunter,97NY,,97NY,"-74.23760223388672, 42.23429870605469"
97OG,small_airport,Bybee Field,2150,NA,US,US-OR,Nyssa,97OG,,97OG,"-116.989964, 43.897828"
97OR,small_airport,Hi Country No 2 Airport,3840,NA,US,US-OR,Prairie City,97OR,,97OR,"-118.66200256347656, 44.43519973754883"
97PN,small_airport,Gold Mine Field,550,NA,US,US-PA,Sellersville,97PN,,97PN,"-75.34960174560547, 40.375099182128906"
97TN,small_airport,Kite Field,1450,NA,US,US-TN,Jonesborough,97TN,,97TN,"-82.5857627392, 36.2785568902"
97TS,small_airport,Gdap Air Ranch Airport,300,NA,US,US-TX,Willis,97TS,,97TS,"-95.53990173339844, 30.480199813842773"
97TX,small_airport,San Pedro Ranch Airport,710,NA,US,US-TX,Carrizo Springs,97TX,,97TX,"-100.06700134277344, 28.283599853515625"
97VA,small_airport,Singleton Airport,2060,NA,US,US-VA,Warm Springs,97VA,,97VA,"-79.7134017944336, 38.21070098876953"
97WA,small_airport,Basin City Airfield,722,NA,US,US-WA,Mesa,97WA,,97WA,"-119.15399932861328, 46.58570098876953"
97WI,small_airport,North Fork Airport,1145,NA,US,US-WI,Thorp,97WI,,97WI,"-90.86029815673828, 44.96329879760742"
97XS,small_airport,Tilghman Airport,741,NA,US,US-TX,Van Alstyne,97XS,,97XS,"-96.479467, 33.432833"
97Y,small_airport,Genoa Municipal Airport,1570,NA,US,US-NE,Genoa,97Y,,97Y,"-97.70870208740234, 41.40420150756836"
98AK,small_airport,Eastland Airport,1190,NA,US,US-AK,Homer,98AK,,98AK,"-151.1820068359375, 59.77579879760742"
98CL,small_airport,Noltas Airport,145,NA,US,US-CA,Willows,98CL,,98CL,"-122.20099639892578, 39.57899856567383"
98G,small_airport,Sebewaing Airport,584,NA,US,US-MI,Sebewaing,98G,,98G,"-83.4625015258789, 43.72919845581055"
98GA,small_airport,Circle T Airport,545,NA,US,US-GA,Indian Springs,98GA,,98GA,"-83.91239929199219, 33.2056999206543"
