"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.6,97.4,2,,,10/8/15,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,JM/12_15,http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/,http://planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,JM/8_15,http://www.spaceflight101.com/afspc-05-secondary-payloads.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,JM/8_15,http://www.spaceflight101.com/afspc-05-secondary-payloads.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,573,585,8.63E-04,98,96.23,2,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067D,41851,,prehled druzic,http://spaceflightnow.com/2016/11/11/commercial-satellite-launched-to-image-the-earth-in-high-resolution/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,prehled druzic,http://spaceflightnow.com/2016/11/11/commercial-satellite-launched-to-image-the-earth-in-high-resolution/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,,GEO,,48,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",12/20/08,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,JM/12_08,http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478,http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html,http://en.wikipedia.org/wiki/Eutelsat_W2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afristar ,USA,USA,1Worldspace,Commercial,Communications,,GEO,,20.97,"35,770","35,802",3.80E-04,0.03,1436.09,"2,704","1,530","5,500",10/28/98,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",JM/12_08,www.floridatoday.com/space/explore/stories/1998b/102898ac.htm,http://www.worldspace.com/coveragemaps/afristar.html,http://interglobal.org/frontier/10-30-98.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,197,216,4/25/07,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,www.satellitedebris.net 12/12,http://aim.hamptonu.edu/,http://www.lib.cas.cz/www/space.40/2007/015A.HTM,http://www.nasa.gov/mission_pages/aim/index.html,http://www.lib.cas.cz/space.40/2011/044G.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE__(AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/6/13,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,ZARYA estimated,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphasat I-XL__(Inmarsat IV-A F4),United Kingdom,United Kingdom/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,,GEO,,25,"35,786","35,787",1.19E-05,0.02,1436.09,"6,650","3,370","12,000",7/25/13,15 yrs.,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,ZARYA,http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview,http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
