"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Wingo (Lemur 2-F17),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Flight Facility,Antares 230,2016-062F,41874,,JMSatCat9_17,https://spaceflightnow.com/2017/02/15/india-lofts-a-record-104-spacecraft-on-a-single-rocket/,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemur-2-Xiaoqing (Lemur-2 F15),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Flight Facility,Antares 230,2016-062C,41871,,JMSatCat9_17,https://spaceflightnow.com/2017/02/15/india-lofts-a-record-104-spacecraft-on-a-single-rocket/,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LilacSat-1 (QB50-CN02, Zidingxiang-1)",NR (10/17),China,Harbin Institute of Technology,Civil,Earth Science,,LEO,Non-Polar Inclined,0,402,403,7.38E-05,51.6,92.6,4,,,5/26/17,,Harbin Institute of Technology,China,International Space Center,Nanorack Deployer,1998-067ME,42725,Carries an Ion-Neutral Mass Spectrometer (INMS).,JMSatcat,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=343,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINK (QB50-KR01, Little Intelligent Nanosatellite of KAIST)",NR (10/17),South Korea,Korean Advanced Institute of Science and Technology (KAIST),Government,Space Science,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.4,3,,,5/18/17,.25 yrs.,Korean Advanced Institute of Science and Technology,South Korea,International Space Center,Nanorack Deployer,1998-067LV,42714,Equipped with an ion-neutral mass spectrometer and two Langmuir probes,JMSatcat/10_17,http://iconnect007.com/printfn/print.php?cdrID=105134,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMRSTSat (Low Mass Radio Science Transponder Satellite),NR,USA,National Aeronautics and Space Administration (NASA) Jet Propulsion Laboratory,Government,Technology Demonstration,,LEO,Non-Polar Inclined,0,493,800,2.19E-02,64.78,97.65,3,,,10/8/15,,NASA Jet Propulsion Laboratory,USA,Cape Canaveral,Atlas 5,2015-058H,40971,Technology demonstration of Low Mass Radio Transponder.,JM/12_15,http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/,http://prehled-druzic.blogspot.cz/2015/10/2015-058.html,http://planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazaalai (Bird MM),NR (10/17),Mongolia,Kyushu Institute of Technology (KIT),Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,401,410,6.64E-04,51.6,92.6,2,,,7/7/17,,Kyushu Institute of Technology (KIT),Japan,International Space Center,Nanorack Deployer,1998-067MW,42822,Five country effort at Kyushu Institute of Technology for learning and capacity building.,JMSatcat/10_17,https://www.researchgate.net/publication/289868265_IAA-CU-15-01-16_Five-nations_CubeSat_constellation_An_inexpensive_test_case_for_learning_and_capaci-_ty_building,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,USA,University of Michigan/Montana University,Civil,Technology Development,,LEO,Polar,0,442,724,2.03E-02,101.7,97.45,2,,,10/28/11,,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855,M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.,WT,http://www.ne.jp/asahi/hamradio/je9pel/satslist.htm,http://www.lib.cas.cz/space.40/2011/061F.HTM,https://directory.eoportal.org/web/eoportal/satellite-missions/m/m3-mcubed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 2 (Malaysia East Asia Sat 2),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,148,"35,782","35,791",1.07E-04,1.09,1436.12,"1,450",650,"1,200 (BOL)",11/14/96,11.5 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-063B,24653,"Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries.",JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/376/measat/measat.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx517.html,http://www.measat.com.my/company_profile.html,http://www.measat.com/media_press_2011.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,,GEO,,91.5,"35,772","35,802",3.56E-04,0.05,1436.11,"5,800",,"16,000",9/11/14,15 yrs.,Airbus Defence and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2014-054B,40147,48 Ku-band transponders.,ZARYA,http://www.arianespace.com/news-mission-update/2014/1156.asp,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,http://www.space-airbusds.com/en/programme/-measat-3b.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Electronic Intelligence,GEO,,-27.95,"35,598","35,976",4.48E-03,5.1,1436.13,"8,000","4,000",,8/27/94,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,JM/12_08,http://reseau.echelon.free.fr/reseau.echelon/satellites.htm,http://www.globalsecurity.org/space/systems/vortex2.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx491.html,http://www.lib.cas.cz/www/space.40/1994/054A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Electronic Intelligence,GEO,,-23.51,"33,674","37,900",5.01E-02,7.33,1436.12,"8,000","4,000",,4/24/96,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.,JM/12_08,http://reseau.echelon.free.fr/reseau.echelon/satellites.htm,http://www.globalsecurity.org/space/systems/vortex2.htm,http://nssdc.gsfc.nasa.gov/spacewarn/spx511.html,http://www.lib.cas.cz/www/space.40/1996/026A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 3 (NROL 67, USA 250)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Electronic Intelligence,GEO,,0,"35,500","35,500",0.00E+00,7,1436,"3,900",,,4/10/14,,Unknown,USA,Cape Canaveral,Atlas 5,2014-020A,39652,Speculated to be a new SIGINT satellite - not verified.,Approximate,http://www.nasaspaceflight.com/2014/04/atlas-v-nrol-67-military-mission/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 10 (MSGalaxy-3,MSG 3)",EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,"35,784","35,791",8.30E-05,1.8,1436.15,"2,000",,,7/5/12,7 yrs.,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2012-035B,38552,,ZARYA,http://www.spacenews.com/launch/120706-echostar17-healthy.html,http://www.eumetsat.int/Home/Main/News/CorporateNews/817025?l=en,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://www.space.com/16461-rocket-launches-weather-satellite-echostar-17.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteosat 11 (MSG 4),EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,0,"35,791","35,795",4.74E-05,3.1,1436.1,"2,000","1,200",,7/15/15,12 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2015-034A,40732,,JM/8_15,http://www.eumetsat.int/website/home/Satellites/CurrentSatellites/Meteosat/index.html,http://www.nasaspaceflight.com/2015/07/ariane-5-msg-4-star-one-c4-dual-launch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 8 (MSGalaxy-1, MSG-1)",EUMETSAT/ESA,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,41.5,"35,781","35,793",1.42E-04,0.46,1436.1,"2,000","1,000",700,8/21/02,12 yrs.,Alcatel,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,JM/12_08,http://www.cospas-sarsat.org/DocumentsSystemDataDocument/SD30-NOV04.pdf,http://www.eumetsat.de/en/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx586.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 9 (MSGalaxy-2, MSG 2)",EUMETSAT,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,Earth Science/Meterology,GEO,,-0.02,"35,775","35,795",2.37E-04,0.29,1436,"2,000","1,000",700,12/21/05,12 yrs.,Alcatel/Alenia Space,France/Italy,Guiana Space Center,Ariane 5G,2005-049B,28912,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,JM/12_08,http://www.eumetsat.int/idcplg?IdcService=SS_GET_PAGE&nodeId=114&l=en,http://nssdc.gsfc.nasa.gov/spacewarn/spx626.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexsat-3 (Mexsat Bicentenario),Mexico,Mexico,Mexico Telecomm,Government/Military,Communications,,GEO,,-114.9,"35,784","35,791",8.30E-05,0.07,1436.16,"2,900",,"3,500",12/19/12,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Atlas 5 ECA,2012-075B,39035,Start of 3-satellite constellation.,SC - ASCR,http://www.boeing.com/assets/pdf/defense-space/space/bss/factsheets/702/mexsat/MEXSAT_product_card.pdf,http://boeing.mediaroom.com/index.php?s=43&item=2540,http://space50.kosmo.cz/s40/2012/I075B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexsat3 (Morelos-3),Mexico,Mexico,Mexico Telecomm,Government,Communications,,GEO,,-116.8,"35,767","35,805",4.51E-04,7.12,"1,436","5,325",,,10/2/15,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-056A,40946,,JM/12_15,http://www.americaspace.com/?p=86772,http://www.planet4589.org/space/log/satcat.txt,http://finance.yahoo.com/news/mexicos-morelos-3-satellite-successfully-140400205.html;_ylt=A0LEVjGrcF9WrqoA4OwnnIlQ;_ylu=X3oDMTBzdWd2cWI5BGNvbG8DYmYxBHBvcwMxMAR2dGlkAwRzZWMDc3I-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSCOPE (MICRO-Satellite _ traîn_e Compens_e pour l'Observation du Principe d'Equivalence),NR (12/16),ESA,Centre National d'Etudes Spatiales (CNES),Government,Space Science,,LEO,,0,711,715,2.82E-04,98.23,99,300,,,4/25/16,1 yr.,CNES,France,Guiana Space Center,Soyuz 2.1a,2016-025B,41457,,Space50,http://spaceflightnow.com/2016/04/26/soyuz-blasts-off-with-environmental-satellite-general-relativity-probe/,http://sci.esa.int/collaborative-missions/,http://space50.org/objekt.php?mot=2016-025B&jazyk=pp_en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,-38.9,"35,754","35,819",7.71E-04,5.99,1436.13,"4,536",,"8,000",2/7/94,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/12_08,http://www.losangeles.af.mil.SMC/MC/mcm.html,http://www.af.mil/factsheets/factsheet.asp?fsID=118,http://www.yenra.com/milstar/,http://www.fas.org/spp/military/program/com/milstar2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,3.94,"35,765","35,809",5.22E-04,0.35,1436.13,"4,536",,"8,000",11/6/95,10 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4A,1995-060A,23712,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/304,http://www.losangeles.af.mil.SMC/MC/mcm.html,http://www.af.mil/factsheets/factsheet.asp?fsID=118,http://www.yenra.com/milstar/,http://www.fas.org/spp/military/program/com/milstar2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,-67.9,"35,764","35,768",4.75E-05,4.5,1435.04,"4,536",,"8,000",2/27/01,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JMSatcat10_06,http://www.losangeles.af.mil.SMC/MC/mcm.html,http://www.af.mil/factsheets/factsheet.asp?fsID=118,http://www.yenra.com/milstar/,http://www.fas.org/spp/military/program/com/milstar2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,3.92,"35,753","35,820",7.95E-04,3.45,1436.12,"4,536",,"8,000",1/16/02,12 hrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/304,http://www.losangeles.af.mil.SMC/MC/mcm.html,http://www.af.mil/factsheets/factsheet.asp?fsID=118,http://www.yenra.com/milstar/,http://www.fas.org/spp/military/program/com/milstar2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,USA,US Air Force,Military,Communications,,GEO,,-89.98,"35,768","35,806",4.51E-04,0.82,1436.13,"4,536",,"8,000",4/8/03,12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/12_08,http://www.losangeles.af.mil.SMC/MC/mcm.html,http://www.af.mil/factsheets/factsheet.asp?fsID=118,http://www.yenra.com/milstar/,http://www.fas.org/spp/military/program/com/milstar2.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-1 (Magnetospheric Multiscale Mission),NR,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0,"1,375","70,009",8.16E-01,28.9,"1,433","1,360",,,3/13/15,3 yrs.,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482,"4 satellites in a tetrahedral formation - gather information about the microphysics of magnetic reconnection, energetic particle acceleration, and turbulence, processes that occur in many astrophysical plasmas",JM/8_15,http://mms.gsfc.nasa.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-2 (Magnetospheric Multiscale Mission),NR,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0,"1,357","70,117",8.16E-01,29,"1,433","1,360",,,3/13/15,3 yrs.,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483,,JM/8_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-3 (Magnetospheric Multiscale Mission),NR,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0,"1,429","70,045",8.15E-01,29,"1,433","1,360",,,3/13/15,3 yrs.,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484,,JM/8_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS-4 (Magnetospheric Multiscale Mission),NR,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0,"1,317","70,157",8.17E-01,29,"1,433","1,360",,,3/13/15,3 yrs.,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485,,JM/8_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSAT 1 ,Canada,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,,GEO,,-106.43,"35,763","35,809",5.46E-04,1.37,1436.09,"2,850","1,330","3,300",4/20/96,12 yrs.,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America,JM/12_08,http://planet4589.org/space/log/geobus0902.ok.lis,http://nssdc.gsfc.nasa.gov/spacewarn/spx510.html,http://www.msvlp.com/about/space_segment.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSAT 2 (AMSC-1, ACTel-1)",USA,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,,GEO,,-101.21,"35,776","35,796",2.37E-04,4.02,1436.09,"2,850","1,330","3,300",4/7/95,10 yrs.,Hughes Communications Inc.,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,JM/12_08,www.heavens.above.com,http:/sat.nd.com/geo      http://www.analsis.com/satellite/profiles/motient.htm,http://www.rolfisoft.de/html/satdb_1995_eng.html,http://www.msvlp.com/about/space_segment.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTI (Multispectral Thermal Imager),USA,USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,,LEO,Sun-Synchronous,0,461,478,1.24E-03,97.47,94.9,587,,575,3/12/00,3 yrs.,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102,"Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.",WT,http://directory.eoportal.org/get_announce.php?an_id=7362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-1 (Mobile User Objective System 1),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-176.96,"35,569","36,006",5.18E-03,3.73,1436.1,"6,804",,,2/24/12,10-12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093,Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.,JM/6_16,http://www.upi.com/Business_News/Security-Industry/2012/02/27/First-MUOS-satellite-launched/UPI-56501330359834/,http://www.spaceflightnow.com/atlas/av030/geo.html,http://www.gdc4s.com/content/detail.cfm?item=2c63816d-67d1-4de2-a33f-59a2285aa0cd,http://www.agi.com/media-center/launch-notifications/view-launch-notification.aspx?id=78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-2 (Mobile User Objective System 2),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-100.1,"35,550","36,023",5.61E-03,4.11,1436.1,"6,804",,,7/19/13,10-12 yrs.,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206,Second of four.,JM/6_16,http://www.spacenews.com/article/military-space/36357atlas-5-launches-navys-muos-2-satellite-into-orbit,http://www.dote.osd.mil/pub/reports/FY2012/pdf/navy/2012muos.pdf,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-3 (Mobile User Objective System 3),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-15.48,"35,576","35,998",5.01E-03,4.57,1436.1,"6,804","3,812",,1/21/15,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374,Next-generation narrowband tactical satellite communications system designed to significantly improve ground communications for U.S. forces on the move.,JM/6_16,http://www.ulalaunch.com/atlas-v-to-launch-MUOS-3.aspx,http://www.space50.org/objekt.php?rok=M&mot=2015-002A&jazyk=pp_en,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-4 (Mobile User Objective System 4),NR (12/16),USA,DoD/US Navy,Military,Communications,,GEO,,74.8,"35,576","35,997",4.99E-03,4.8,1436.1,"6,804",,,9/2/15,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887,,JM/6_16,https://www.shephardmedia.com/news/digital-battlespace/us-navys-muos-4-moves-toward-2015-launch-date/,http://www.lockheedmartin.com/us/products/mobile-user-objective-system--muos-.html,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-5 (Mobile User Objective System 5),NR (12/16),USA,DoD/US Navy,Military,Communications,,GEO,,,"35,576","35,998",5.01E-03,4.5,1436.1,"6,804",,,6/24/16,,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",Estimated,https://spaceflightnow.com/2016/06/24/navy-satellite-sails-to-orbit-atop-atlas-5-rocket-for-communications-grid/,https://spaceflightnow.com/2016/11/03/navy-satellite-claws-its-way-to-usable-orbit-after-propulsion-system-problem/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosat-1,Spain,Spain,Instituto Nacional de T_cnia Aeroespacial (INTA),Government,Communications,,LEO,Sun-Synchronous,0,654,659,3.56E-04,98.4,97.9,20,15,20,12/18/04,,Instituto Nacional de T_cnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,Will maintain contact with Spanish zone in Antarctica; extremely small magnetic and solar sensors.,www.satellitedebris.net 12/12,,http://www.spacenewsfeed.co.uk/2004/19December2004_27.html,http://www.satnews.com/stories11/873.htm,http://www.lib.cas.cz/knav/space.40/2004/049B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,188","20,224",6.77E-04,55,718.94,"1,630",,,5/28/10,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-022A,36585,First in the IIF series.,SC - ASCR,http://tycho.usno.navy.mil/gpscurr.html,http://www.lib.cas.cz/space.40/2010/022A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",NR,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,446","20,459",2.42E-04,54.9,728.96,"1,630",,"1,136",7/15/15,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730,,JM/8_15,http://www.navcen.uscg.gov/?Do=constellationStatus,http://www.nasaspaceflight.com/2015/07/ula-atlas-v-gps-iif10-launch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",NR,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,426","20,486",1.12E-03,55,97.7,"1,630",,,10/31/15,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-062A,41019,,SC - ASCR,http://prehled-druzic.blogspot.com/2015/10/2015-062.html,ftp://tycho.usno.navy.mil/pub/gps/gpsb2.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",NR (12/16),USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,175","20,188",2.45E-04,55,717.9,"1,630",,,2/5/16,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2016-007A,41328,,Space50,http://www.space.com/31847-air-force-launches-gps-military-satellite.html,http://space50.org/objekt.php?mot=2016-007A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,451","20,464",2.42E-04,55.03,729.18,"1,630",,,7/16/11,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2011-036A,37753,,SC - ASCR,http://gge.unb.ca/Resources/GPSConstellationStatus.txt,http://www.lib.cas.cz/space.40/2011/INDEX1.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,174","20,191",3.20E-04,54.95,718,"1,630",,"1,136",10/4/12,10 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833,Will replace 2A-21.,SC - ASCR,http://space50.kosmo.cz/s40/2012/1053A.HTM,http://www.cbsnews.com/network/news/space/home/spacenews/files/100412_gps.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0,"20,184","20,247",1.18E-03,55.09,719.32,"1,630",,"1,136",5/15/13,10 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166,,SC - ASCR,http://www.gps.gov/,http://www.space.com/19794-navstar.html,http://space50.kosmo.cz/s40/2013/I023A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
