Name,Launch Site,State,Latitude,Longitude,Day,Year
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19950129,1995
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19951022,1995
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19960725,1996
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",Cape Canaveral,Florida,28.45077,-80.52662,19980316,1998
UNSW-ECO (QB50 - AU02),International Space Center,Texas,29.5517223,-95.0985272,20170525,2017
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",Cape Canaveral,Florida,28.45077,-80.52662,20120830,2012
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",Cape Canaveral,Florida,28.45077,-80.52662,20120830,2012
Venµs,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20170801,2017
ViaSat-2,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20170601,2017
Vinasat 1,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20080418,2008
Vinasat 2,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20120515,2012
VNREDSat 1A__(Vietnam Natural Resources Environment and Disaster monitoring small Satellite),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20130507,2013
"Wideband Global Satcom 1 (WGS-1, USA 195)",Cape Canaveral,Florida,28.45077,-80.52662,20071011,2007
"Wideband Global Satcom 2 (WGS-2, USA 204)",Cape Canaveral,Florida,28.45077,-80.52662,20090404,2009
"Wideband Global Satcom 3 (WGS-3, USA 211)",Cape Canaveral,Florida,28.45077,-80.52662,20091206,2009
"Wideband Global Satcom 4 (WGS-4, USA 233)",Cape Canaveral,Florida,28.45077,-80.52662,20120120,2012
"Wideband Global Satcom 5 (WGS-5, USA 243)",Cape Canaveral,Florida,28.45077,-80.52662,20130525,2013
"Wideband Global Satcom 6 (WGS-6, USA 244)",Cape Canaveral,Florida,28.45077,-80.52662,20130808,2013
"Wideband Global Satcom 7 (WGS-7, USA 263)",Cape Canaveral,Florida,28.45077,-80.52662,20150724,2015
"Wideband Global Satcom 8 (WGS-8, USA 272)",Cape Canaveral,Florida,28.45077,-80.52662,20161207,2016
"Wideband Global Satcom 9 (WGS-9, USA 275)",Cape Canaveral,Florida,28.45077,-80.52662,20170317,2017
WildBlue 1,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20061208,2006
Worldview 1,Vandenberg AFB,California,34.7425933,-120.5155986,20070918,2007
Worldview 2,Vandenberg AFB,California,34.7425933,-120.5155986,20091008,2009
Worldview 3,Vandenberg AFB,California,34.7425933,-120.5155986,20140813,2014
Worldview 4,Vandenberg AFB,California,34.7425933,-120.5155986,20161111,2016
X37-B OTV-4 (USA 261),Cape Canaveral,Florida,28.45077,-80.52662,20150520,2015
XCubeSat (QB50 - FR01),International Space Center,Texas,29.5517223,-95.0985272,20170418,2017
XM Radio 3 (Rhythm),Ocean Odyssey,California,40.012573,-74.151876,20050301,2005
XM Radio 4 (Blues),Ocean Odyssey,California,40.012573,-74.151876,20061030,2006
XMM Newton (High Throughput X-ray Spectroscopy Mission),Guiana Space Center,French Guiana,5.21237515,-52.77388327,19991210,1999
XTAR-EUR,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20050212,2005
Yahsat-1A (Y1A),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20110422,2011
ZA-Aerosat (QB50 - AZ01),International Space Center,Texas,29.5517223,-95.0985272,20170518,2017
