,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
557,Dwight,7756,Valid,L6,4100.0,Found,1940.0,38.85,-96.58333,"(38.850000, -96.583330)",US-KS
558,Eads,7759,Valid,H4,4860.0,Found,1975.0,38.47,-102.82667,"(38.470000, -102.826670)",US-CO
559,Eagle Station,7761,Valid,"Pallasite, PES",36000.0,Found,1880.0,38.61667,-84.96667,"(38.616670, -84.966670)",US-KY
560,Edmond,7767,Valid,H6,4000.0,Found,1983.0,39.76667,-99.91667,"(39.766670, -99.916670)",US-KS
561,Edmonson (a),7768,Valid,L6,12000.0,Found,1955.0,34.28333,-101.83333,"(34.283330, -101.833330)",US-TX
562,Edmonson (b),7769,Valid,H4,14402.0,Found,1981.0,34.28333,-101.83333,"(34.283330, -101.833330)",US-TX
563,Edmonton (Kentucky),7771,Valid,"Iron, IAB-sLM",10200.0,Found,1942.0,37.03333,-85.63333,"(37.033330, -85.633330)",US-KY
564,El Burro,7793,Valid,"Iron, IIAB",35900.0,Found,1939.0,29.33333,-101.83333,"(29.333330, -101.833330)",US-TX
565,El Capitan,7794,Valid,"Iron, IIIAB",27500.0,Found,1893.0,33.5,-105.5,"(33.500000, -105.500000)",US-NM
566,El Carmen,7795,Valid,H6,629.0,Found,1987.0,26.86667,-105.23333,"(26.866670, -105.233330)",US-TX
567,El Mirage,7809,Valid,"Iron, IIAB",598.0,Found,1972.0,33.68333,-112.26667,"(33.683330, -112.266670)",US-AZ
568,El Mirage Dry Lake 001,7810,Valid,H5,1.5,Found,2000.0,34.65433,-117.59638,"(34.654330, -117.596380)",US-CA
569,El Mirage Dry Lake 002,7811,Valid,H4,13.0,Found,2001.0,34.64667,-117.58108,"(34.646670, -117.581080)",US-CA
570,El Mirage Dry Lake 003,53845,Valid,H6,6.9,Found,2010.0,34.63432,-117.56217,"(34.634320, -117.562170)",US-CA
571,El Mirage Dry Lake 004,54570,Valid,LL6,271.0,Found,2011.0,34.65783,-117.59892,"(34.657830, -117.598920)",US-CA
572,El Paso,7812,Valid,LL4,276.0,Found,1950.0,31.78333,-106.23333,"(31.783330, -106.233330)",US-NM
573,El Pozo,7814,Valid,L5,460.0,Found,1998.0,26.93333,-105.4,"(26.933330, -105.400000)",US-TX
574,El Rancho Grande,7816,Valid,Pallasite,40.7,Found,1954.0,37.0,-105.0,"(37.000000, -105.000000)",US-NM
575,Elba,7821,Valid,H5,4175.0,Found,1966.0,39.83333,-103.21667,"(39.833330, -103.216670)",US-CO
576,Elida (a),10014,Valid,L6,936.8,Found,1968.0,33.78333,-103.57667,"(33.783330, -103.576670)",US-NM
577,Elida (b),10015,Valid,OC,537.8,Found,1968.0,33.91667,-103.51833,"(33.916670, -103.518330)",US-NM
